State,Strong,Weak,No-opinion
Atlantic Region,51.3,35.2,13.5
Newfoundland and Labrador,50.8,34.4,14.8
Prince Edward Island,51.7,37.2,11.1
Nova Scotia,51.9,34.3,13.8
New Brunswick,50.6,36.6,12.8
Quebec,47.1,39.3,13.6
Ontario,48.9,38.5,12.6
Prairies Region,48,40.5,11.5
Manitoba,49.6,36.3,14.1
Saskatchewan,51.5,34.3,14.2
Alberta,46.7,43.2,10.1
British Columbia,49.7,40.6,9.7
